dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1704117600,5,29479.98,572.2,126.12,0,196.46,749.7,937.86,137.81
1704121200,5,29052.73,565.05,120.64,0,175.48,836.76,1049.13,131.73
1704124800,5,29052.73,565.05,115.16,0,152.59,888.62,1112.17,114.5
1704128400,5,27343.75,536.44,109.67,0,133.51,847.51,1056.17,97.27
1704132000,5,23498.54,454.19,97.33,0,110.63,752.74,940.92,85.12
1704135600,5,19439.7,379.09,82.94,0,86.78,663.68,818.33,72.96
1704139200,5,15808.11,307.56,66.49,0,60.08,564.61,679.2,48.64
1704142800,5,11962.89,236.03,55.52,0,41.96,448.22,520.89,29.89
1704146400,5,8544.92,173.45,50.72,0,36.24,334.01,381.52,21.03
1704150000,5,6942.75,144.84,47.3,0,40.05,276.18,319.5,19.76
1704153600,5,7904.05,166.3,47.98,0.08,58.17,281.86,339.62,27.36
1704157200,5,10147.09,207.42,60.32,1.3,82.02,287.8,356.73,31.41
1704160800,5,11749.27,209.21,108.3,5.28,95.37,303.81,379.26,33.44
1704164400,5,12710.57,118.02,249.51,36.48,103.95,378.54,463.31,37.49
1704168000,5,5287.17,8.27,165.88,40.41,62.94,166.35,205.01,17.23
1704171600,5,4325.87,1.96,153.54,11.62,68.66,129.7,163.72,15.07
1704175200,5,4005.43,11.06,159.03,5.19,88.69,132.42,166,12.79
1704178800,5,3417.97,16.32,156.28,0.28,87.74,123.29,151.54,9.25
1704182400,5,2990.72,15.42,145.32,0.14,69.62,111.74,134.67,7.16
1704186000,5,2723.69,10.39,130.24,0.5,51.02,101.16,120.66,6.46
1704189600,5,3070.83,12.85,122.01,0.29,44.35,96.86,114.81,7.47
1704193200,5,3845.21,24.36,119.27,0.02,45.3,103.92,123.29,9.25
1704196800,5,4165.65,30.4,111.04,0,45.78,113.55,136.18,10.26
1704200400,5,4806.52,40.68,102.82,0,48.16,132.37,163.34,13.17
1704204000,5,5661.01,52.75,95.96,0,47.21,161.3,202.93,16.47
